EngRĩm, qukap, RimSyl
elastic, Q, ...
electric, Q, ...
end, N, ...
engine, PicN, ...
enough, op, ...
equal, Q, ...
error, N, ...
even, op, ...
event, N, ...
ever, op, ...
every, op, raĩ
example, N, ...
exchange, N, ...
existence, N, "NiRĩm, NiRĩn"
expansion, N, "enim"
experience, N, ...
expert, N, ...
eye, PicN, ...
face, PicN, "{Teif}"
fact, N, ...
fall, N, ...
false, Q.opp, {Nir}
family, N, {lĩrĩm}
farm, PicN, ...
far, op, ...
father, N, ...
fat, Q, ...
fear, N, ...
feather, PicN, ...
feeble, Q.opp, ...
feeling, N, ...
female, Q.opp, ...
fertile, Q, ...
fiction, N, ...
field, N, ...
fight, N, ...
finger, PicN, "{terchĩf}, etc."
fire, N, ...
first, Q, ihfĩ
fish, PicN, ...
fixed, Q, ...
flag, PicN, ...
flame, N, ...
flat, Q, ...
flight, N, "chorem"
floor, PicN, ...
flower, N, ...
fly, PicN, ...
fold, N, ...
food, N, ...
foolish, Q.opp, ...
foot, PicN, ...
force, N, ...
fork, PicN, ...
form, N, ...
for, op, ...
forward, op, ...
fowl, PicN, ...
frame, PicN, ...
free, Q, ...
frequent, Q, ...
friend, N, "Fĩm, {fĩmi}, {fĩ{m}'hnym}"
from, op, ...
front, N, ...
fruit, N, {lupih}
full, Q, ...
future, Q.opp, ...
garden, PicN, ...
general, Q, ...
get, op, ...
{girl ->} filly, PicN, ilmĩn
give, op, "ker-"
glass, N, ...
glove, PicN, ...
goat, PicN, {nirroh}
gold, N, ...
good, Q, "{?Tau}, ..."
go, op, re
government, N, laauhĩr{'khĩmri}
grain, N, ...
grass, N, Sai
great, Q, ...
green, Q.opp, {luchı̊f}
grey, Q, ...
grip, N, ...
group, N, {khĩm}
growth, N, ...
guide, N, ...
gun, PicN, ...
hair, PicN, ...
hammer, PicN, ...
hand, PicN, ...
hanging, Q, ...
happy, Q, ...
harbour, N, ...
hard, Q, ...
harmony, N, {FĩmRĩm}
hate, N, ...
hat, PicN, ...
have, op, "{ute-} ??cf intrinsically -- CHECK TRANSLATIONS, ..."
head, PicN, "tef, ter"
healthy, Q, ...
hearing, N, {aur-}...
heart, PicN, Ther
heat, N, ...
help, N, {ayi}
he, op, ...
here, op, "tam"
high, Q, ...
history, N, ozhfĩr
hole, N, ...
hollow, Q, ...
hook, PicN, ...
hope, N, ...
horn, PicN, "kirm/kĩrm/qĩrm"
horse {primitive}, PicN, {fosh}
hospital, PicN, ...
hour, N, ...
house, PicN, ...
how, op, ...
humour, N, ...
ice, N, ...
idea, N, "rĩh, {rĩhim}"
if, op, "{anmid, anmid'ya}..."
ill, Q.opp, ...
important, Q, ...
impulse, N, ...
increase, N, "{Rĩl}, enim"
industry, N, ...
ink, N, ...
in, op, "{a}, {an}"
insect, N, ...
instrument, N, ...
insurance, N, ...
interest, N, ...
invention, N, ...
I, op, te
iron, N, ...
island, PicN, ...
jelly, N, ...
jewel, PicN, "{FeĩFaĩ}, {FĩFaĩ}, {ChĩFaĩ}"
join, N, ...
journey, N, ...
judge, N, ...
jump, N, ...
keep, op, ...
kettle, PicN, ...
key, PicN, ...
kick, N, ...
kind, Q, ...
kiss, N, ...
knee, PicN, ...
knife, PicN, ...
knot, PicN, ...
knowledge, N, ...
land, N, {laaum}...
language, N, "{laaurĩ'rĩm}, {hĩrrh'rĩm}"
last, Q.opp, ...
late, Q.opp, ...
laugh, N, "larĩ-, {larĩ'rĩm}, {?larĩ'rĩr/laĩhĩ'hĩr}"
law, N, ...
lead, N, ...
leaf, PicN, "fĩrsaf, lusaf"
learning, N, ...
leather, N, ...
left, Q.opp, ...
leg, PicN, "Cher/Chel"
let {+allow}, op, kote-
letter, N, ...
level, N, ...
library, PicN, ...
lift, N, "arleĩ-, arleĩf"
light, N, ...
like, Q, ...
limit, N, ...
linen, N, ...
line, PicN, ...
lip, PicN, ...
liquid, N, ...
list, N, ...
little, op, "sil cf not much, il-/{enil-} cf small, BUT NOT aril {!}"
living, Q, ...
lock, PicN, ...
long, Q, ...
look, N, ...
loose, Q.opp, ...
loss, N, ...
loud, Q.opp, ...
love, N, "TherSo, {FaĩSo}, {FĩSo}, {FĩmSo}""
low, Q.opp, ...
machine, N, ...
make, op, "fet-, komi-"
male, Q, ...
manager, N, ...
man, N, ...
map, PicN, ...
market, N, ...
mark, N, ...
married, Q, ...
mass, N, ...
match, PicN, ...
material, Q, ...
may, op, ...
meal, N, ...
measure, N, ...
meat, N, ...
medical, Q, ...
meeting, N, ...
memory, N, ...
metal, N, ...
middle, N, ...
military, Q, ...
milk, N, ...
mind, N, ...
mine, N, ...
minute, N, ...
mist, N, ...
mixed, Q.opp, ...
money, N, ...
monkey, PicN, ...
month, N, "LoTen"
moon, PicN, "Lo"
morning, N, ...
mother, N, ...
motion, N, ...
mountain, N, "Lor, {Lon}"
mouth, PicN, ...
move, N, ...
much, op, ...
muscle, PicN, ...
music, N, ...
nail, PicN, ...
name, N, TeiRĩm
narrow, Q.opp, ...
nation, N, ...
natural, Q, ...
near, op, ...
necessary, Q, ...
neck, PicN, ...
needle, PicN, ...
need, N, ...
nerve, PicN, ...
net, PicN, ...
new, Q, ...
news, N, "lisu"
night, N, ...
noise, N, ...
no, op, "naĩ, neĩ"
normal, Q, ...
north, op, "osnar{'yan}"
nose, PicN, ...
note, N, ...
not, op, ...
now, op, ...
number, N, "{che{t}}, rĩchet, {fĩchet}"
nut, PicN, ...
observation, N, "aulih, {rĩ'aulih}"
offer, N, ...
office, PicN, ...
off, op, ...
of, op, {na}...
oil, N, ...
old, Q.opp, "ozha, arosh, {ozhfeĩ}"
only, op, ...
on, op, ...
open, Q, ...
operation, N, ...
opinion, N, "autan'rĩh"
opposite, Q.opp, ...
orange, PicN, ...
order, N, "cheret, ficheret"
organization, N, ...
ornament, N, ...
or, op, "ul, {cheul}, che'ul"
other, op, {aaufĩ}...
out, op, ...
oven, PicN, ...
over, op, ...
owner, N, ...
page, N, sal
pain, N, ...
paint, N, ...
paper, N, ...
parallel, Q, ...
parcel, PicN, ...
part, N, ...
paste, N, ...
past, Q, ozhfĩr
payment, N, ...
peace, N, ...
pencil, PicN, ...
pen, PicN, ...
person, N, Nim
physical, Q, ...
picture, PicN, ...
pig, PicN, ...
pin, PicN, ...
pipe, PicN, ...
place, N, ...
plane, PicN, ...
plant, N, "{lusai}, lufĩr"
plate, PicN, ...
play, N, ...
please, op, "hĩ'ayid cf if you please, ?... cf please some'nim"
pleasure, N, ...
plough, PicN, ...
pocket, PicN, ...
point, N, "yan-"
poison, N, ...
polish, N, ...
political, Q, ...
poor, Q, ...
porter, N, ...
position, N, ...
possible, Q, ...
potato, PicN, ...
pot, PicN, ...
powder, N, ...
power, N, ...
present, Q, ...
price, N, ...
print, N, ...
prison, PicN, {TarLam}
private, Q, ...
probable, Q, ...
process, N, ...
produce, N, ...
profit, N, ...
property, N, ...
prose, N, ...
protest, N, ...
public, Q.opp, ...
pull, N, ...
pump, PicN, ...
punishment, N, ...
purpose, N, ...
push, N, ...
put, op, ...
quality, N, ...
question, N, ...
quick, Q, ...
quiet, Q, ...
quite, op, ...
rail, PicN, ...
rain, N, "bimĩ-, bimĩl, lĩmĩ-, {lĩmĩl}"
range, N, ...
rate, N, ...
rat, PicN, ...
ray, N, ...
reaction, N, ...
reading, N, ...
ready, Q, ...
reason, N, "Rin"
receipt, PicN, ...
record, N, ...
red, Q, "eĩchı̊f, ..."
regret, N, ...
regular, Q, ...
relation, N, ...
religion, N, ...
representative, N, ...
request, N, ...
respect, N, ...
responsible, Q, ...
rest, N, ...
reward, N, {leĩt}
rhythm, N, ...
rice, N, ...
right, Q, ...
ring, PicN, ...
river, N, "reĩmĩl, {remĩl}"
road, N, ...
rod, PicN, ...
roll, N, ...
roof, PicN, ...
room, N, ...
root, PicN, ...
rough, Q.opp, ...
round, Q, ...
rub, N, ...
rule, N, ...
run, N, ...
sad, Q.opp, ...
safe, Q.opp, ...
sail, PicN, ...
salt, N, ...
same, Q, ...
sand, N, ...
say, op, "qu-, rĩ-"
scale, N, ...
school, PicN, "Aurin, Tei'lushi'lom"
science, N, hekorin
scissors, PicN, ...
screw, PicN, ...
sea, N, ...
seat, N, ...
second, Q, ...
secretary, N, ...
secret, Q.opp, ...
seed, PicN, "pĩf, pih"
seem, op, "Mĩl'raaum"
see, op, {aul-}
selection, N, ...
self, N, ...
send, op, ...
sense, N, ...
separate, Q, ...
serious, Q, ...
servant, N, ...
sex, N, ...
shade, N, ...
shake, N, ...
shame, N, ...
sharp, Q, ...
sheep, PicN, ...
shelf, PicN, ...
ship, PicN, ...
shirt, PicN, ...
shock, N, ...
shoe, PicN, ...
short, Q.opp, ...
shut, Q.opp, ...
side, N, ...
sign, N, ...
silk, N, ...
silver, N, ...
simple, Q.opp, ...
sister, N, ...
size, N, ...
skin, PicN, ...
skirt, PicN, ...
sky, N, {TaiMĩr}
sleep, N, ...
slip, N, ...
slope, N, ...
slow, Q.opp, ...
small, Q.opp, ...
smash, N, ...
smell, N, ...
smile, N, ...
smoke, N, ...
smooth, Q, ...
snake, PicN, ...
sneeze, N, ...
snow, N, ...
soap, N, ...
society, N, ...
sock, PicN, ...
soft, Q.opp, "silaĩ"
solid, Q.opp, ...
some, op, ...
song, N, "TheRĩm, FeĩRĩm"
son, N, ...
so, op, ...
sort, N, ...
sound, N, ...
soup, N, "peĩmĩl"
south, op, "loyan, luyan"
space, N, ...
spade, PicN, ...
special, Q.opp, ...
sponge, PicN, ...
spoon, PicN, ...
spring, PicN, ...
square, PicN, ...
stage, N, ...
stamp, PicN, ...
star, PicN, Sei
start, N, ...
statement, N, ...
station, PicN, ...
steam, N, ...
steel, N, ...
stem, PicN, ...
step, N, ...
stick, PicN, {pir}
sticky, Q, ...
stiff, Q, ...
still, op, ...
stitch, N, ...
stocking, PicN, ...
stomach, PicN, ...
stone, N, Pai
stop, N, ...
store, PicN, ...
story, N, "fĩres / {fĩcres} / {fĩcrĩm}"
straight, Q, ...
strange, Q.opp, ...
street, PicN, ...
stretch, N, ...
strong, Q, ...
structure, N, ...
substance, N, ...
such, op, ...
sudden, Q, ...
sugar, N, "{ulapĩf}, {ulaĩ'pĩf}"
suggestion, N, ...
summer, N, AauTai
sun, PicN, Tai
support, N, ...
surprise, N, ...
sweet, Q, ...
swim, N, ...
system, N, ...
table, PicN, ...
tail, PicN, "urlash, lashĩf"
take, op, "reh-, terfin-"
talk, N, ...
tall, Q, ...
taste, N, ...
tax, N, ...
teaching, N, "{ashrĩh}, {ashrin}, {ashrĩm}, ..."
tendency, N, ...
test, N, ...
than, op, ...
that, op, "{lu-}, lum, ram"
then, op, ...
the, op, ...
theory, N, ...
there, op, "{la-}, ra-, {lam}, {ram}"
thick, Q, ...
thing, N, ...
thin, Q.opp, ...
this, op, "{tu-}, tum"
though, op, ...
thought, N, ...
thread, PicN, ...
throat, PicN, ...
through, op, ...
thumb, PicN, ...
thunder, N, ...
ticket, PicN, ...
tight, Q, ...
till, op, ...
time, N, fĩrlaaun
tin, N, ...
tired, Q, ...
{toe ->} hoof, PicN, "Chet"
together, op, ...
tomorrow, op, ...
tongue, PicN, ...
to, op, ...
tooth, PicN, ...
top, N, ...
touch, N, ...
town, PicN, ...
trade, N, ...
train, PicN, ReYe
transport, N, remif
tray, PicN, ...
tree, PicN, lufĩr
trick, N, ...
trouble, N, ...
trousers, PicN, ...
true, Q, Tau
turn, N, ...
twist, N, ...
umbrella, PicN, ...
under, op, ...
unit, N, ...
up, op, "ar-"
use, N, "{mifi-}, {mifim}, {mifin-}"
value, N, "{faĩfĩchet}"
verse, N, "qurĩm, ..."
very, op, "{yile}, ..."
vessel, N, ...
view, N, ...
violent, Q, ...
voice, N, ...
waiting, Q, ...
walk, N, ...
wall, PicN, ...
warm, Q, ...
war, N, ...
wash, N, ...
waste, N, ...
watch, PicN, ...
water, N, "Mĩl, ..."
wave, N, ...
wax, N, ...
way, N, ...
weather, N, "Mĩr, {Lĩ{r}Mĩr}"
week, N, ...
weight, N, ...
well, op, ...
west, op, "taiyan"
wet, Q, ...
wheel, PicN, ...
when, op, ...
where, op, ...
while, op, ...
whip, PicN, ...
whistle, PicN, ...
white, Q.opp, ...
who, op, "di'hnym, dinim"
why, op, "dimil, etc. cf many variants"
wide, Q, ...
will, op, ...
wind, N, ...
window, PicN, ...
wine, N, ...
wing, PicN, choleĩ
winter, N, "Aaulĩm"
wire, PicN, "ilash"
wise, Q, ...
with, op, ...
woman {->mare}, N, {mĩn}
wood, N, ...
wool, N, ...
word, N, ...
work, N, ...
worm, PicN, ...
wound, N, ...
writing, N, "rin'shi"
wrong, Q.opp, "{Kor}, {nirkor}"
year, N, "{TaiDen}, {FeĩDen}"
yellow, Q, ...
yes, op, yeĩ
yesterday, op, ...
young, Q, "{ilsa}, ilsha"
you, op, le
