EngRĩm, qukap, RimSyl
goat, PicN, ...
gold, N, ...
good, Q, ...
go, op, ...
government, N, ...
grain, N, ...
grass, N, ...
great, Q, ...
green, Q.opp, ...
grey, Q, ...
grip, N, ...
group, N, ...
growth, N, ...
guide, N, ...
gun, PicN, ...
hair, PicN, ...
hammer, PicN, ...
hand, PicN, ...
hanging, Q, ...
happy, Q, ...
harbour, N, ...
hard, Q, ...
harmony, N, ...
hate, N, ...
hat, PicN, ...
have, op, ...
head, PicN, ...
healthy, Q, ...
hearing, N, ...
heart, PicN, ...
heat, N, ...
help, N, ...
he, op, ...
here, op, ...
high, Q, ...
history, N, ...
hole, N, ...
hollow, Q, ...
hook, PicN, ...
hope, N, ...
horn, PicN, ...
horse, PicN, ...
hospital, PicN, ...
hour, N, ...
house, PicN, ...
how, op, ...
humour, N, ...
ice, N, ...
idea, N, ...
if, op, ...
ill, Q.opp, ...
important, Q, ...
impulse, N, ...
increase, N, ...
industry, N, ...
ink, N, ...
in, op, ...
insect, N, ...
instrument, N, ...
insurance, N, ...
interest, N, ...
invention, N, ...
I, op, ...
iron, N, ...
island, PicN, ...
jelly, N, ...
jewel, PicN, ...
join, N, ...
journey, N, ...
judge, N, ...
jump, N, ...
keep, op, ...
kettle, PicN, ...
key, PicN, ...
kick, N, ...
kind, Q, ...
kiss, N, ...
knee, PicN, ...
knife, PicN, ...
knot, PicN, ...
knowledge, N, ...
land, N, ...
language, N, ...
last, Q.opp, ...
late, Q.opp, ...
laugh, N, ...
law, N, ...
lead, N, ...
leaf, PicN, ...
learning, N, ...
leather, N, ...
left, Q.opp, ...
leg, PicN, ...
let, op, ...
letter, N, ...
level, N, ...
library, PicN, ...
lift, N, ...
light, N, ...
like, Q, ...
limit, N, ...
linen, N, ...
line, PicN, ...
lip, PicN, ...
liquid, N, ...
list, N, ...
little, op, ...
living, Q, ...
lock, PicN, ...
long, Q, ...
look, N, ...
loose, Q.opp, ...
loss, N, ...
loud, Q.opp, ...
love, N, ...
low, Q.opp, ...
machine, N, ...
make, op, ...
male, Q, ...
manager, N, ...
man, N, ...
map, PicN, ...
market, N, ...
mark, N, ...
married, Q, ...
mass, N, ...
match, PicN, ...
material, Q, ...
may, op, ...
meal, N, ...
measure, N, ...
meat, N, ...
medical, Q, ...
meeting, N, ...
memory, N, ...
metal, N, ...
middle, N, ...
military, Q, ...
milk, N, ...
mind, N, ...
mine, N, ...
minute, N, ...
mist, N, ...
mixed, Q.opp, ...
money, N, ...
monkey, PicN, ...
month, N, ...
moon, PicN, ...
morning, N, ...
mother, N, ...
motion, N, ...
mountain, N, ...
mouth, PicN, ...
move, N, ...
much, op, ...
muscle, PicN, ...
music, N, ...
nail, PicN, ...
name, N, ...
narrow, Q.opp, ...
nation, N, ...
natural, Q, ...
near, op, ...
necessary, Q, ...
neck, PicN, ...
needle, PicN, ...
need, N, ...
nerve, PicN, ...
net, PicN, ...
new, Q, ...
news, N, ...
night, N, ...
noise, N, ...
no, op, ...
normal, Q, ...
north, op, ...
nose, PicN, ...
note, N, ...
not, op, ...
now, op, ...
number, N, ...
nut, PicN, ...
observation, N, ...
offer, N, ...
office, PicN, ...
off, op, ...
of, op, ...
oil, N, ...
old, Q.opp, ...
only, op, ...
on, op, ...
open, Q, ...
operation, N, ...
opinion, N, ...
opposite, Q.opp, ...
orange, PicN, ...
order, N, ...
organization, N, ...
ornament, N, ...
or, op, ...
other, op, ...
out, op, ...
oven, PicN, ...
over, op, ...
owner, N, ...
page, N, ...
pain, N, ...
paint, N, ...
paper, N, ...
parallel, Q, ...
parcel, PicN, ...
part, N, ...
paste, N, ...
past, Q, ...
payment, N, ...
peace, N, ...
pencil, PicN, ...
pen, PicN, ...
person, N, ...
physical, Q, ...
picture, PicN, ...
pig, PicN, ...
pin, PicN, ...
pipe, PicN, ...
place, N, ...
plane, PicN, ...
plant, N, ...
plate, PicN, ...
play, N, ...
please, op, ...
pleasure, N, ...
plough, PicN, ...
pocket, PicN, ...
point, N, ...
poison, N, ...
polish, N, ...
political, Q, ...
poor, Q, ...
porter, N, ...
position, N, ...
possible, Q, ...
potato, PicN, ...
pot, PicN, ...
powder, N, ...
power, N, ...
present, Q, ...
price, N, ...
print, N, ...
prison, PicN, ...
private, Q, ...
probable, Q, ...
process, N, ...
produce, N, ...
profit, N, ...
property, N, ...
prose, N, ...
protest, N, ...
public, Q.opp, ...
pull, N, ...
pump, PicN, ...
punishment, N, ...
purpose, N, ...
push, N, ...
put, op, ...
quality, N, ...
question, N, ...
quick, Q, ...
quiet, Q, ...
quite, op, ...
rail, PicN, ...
rain, N, ...
range, N, ...
rate, N, ...
rat, PicN, ...
ray, N, ...
reaction, N, ...
reading, N, ...
ready, Q, ...
reason, N, ...
receipt, PicN, ...
record, N, ...
red, Q, ...
regret, N, ...
regular, Q, ...
relation, N, ...
religion, N, ...
representative, N, ...
request, N, ...
respect, N, ...
responsible, Q, ...
rest, N, ...
reward, N, ...
rhythm, N, ...
rice, N, ...
right, Q, ...
ring, PicN, ...
river, N, ...
road, N, ...
rod, PicN, ...
roll, N, ...
roof, PicN, ...
room, N, ...
root, PicN, ...
rough, Q.opp, ...
round, Q, ...
rub, N, ...
rule, N, ...
run, N, ...
sad, Q.opp, ...
safe, Q.opp, ...
sail, PicN, ...
salt, N, ...
same, Q, ...
sand, N, ...
say, op, ...
scale, N, ...
school, PicN, ...
science, N, ...
scissors, PicN, ...
screw, PicN, ...
sea, N, ...
seat, N, ...
second, Q, ...
secretary, N, ...
secret, Q.opp, ...
seed, PicN, ...
seem, op, ...
see, op, ...
selection, N, ...
self, N, ...
send, op, ...
sense, N, ...
separate, Q, ...
serious, Q, ...
servant, N, ...
sex, N, ...
shade, N, ...
shake, N, ...
shame, N, ...
sharp, Q, ...
sheep, PicN, ...
shelf, PicN, ...
ship, PicN, ...
shirt, PicN, ...
shock, N, ...
shoe, PicN, ...
short, Q.opp, ...
shut, Q.opp, ...
side, N, ...
sign, N, ...
silk, N, ...
silver, N, ...
simple, Q.opp, ...
sister, N, ...
size, N, ...
skin, PicN, ...
skirt, PicN, ...
sky, N, ...
sleep, N, ...
slip, N, ...
slope, N, ...
slow, Q.opp, ...
small, Q.opp, ...
smash, N, ...
smell, N, ...
smile, N, ...
smoke, N, ...
smooth, Q, ...
snake, PicN, ...
sneeze, N, ...
snow, N, ...
soap, N, ...
society, N, ...
sock, PicN, ...
soft, Q.opp, ...
solid, Q.opp, ...
some, op, ...
song, N, ...
son, N, ...
so, op, ...
sort, N, ...
sound, N, ...
soup, N, ...
south, op, ...
space, N, ...
spade, PicN, ...
special, Q.opp, ...
sponge, PicN, ...
spoon, PicN, ...
spring, PicN, ...
square, PicN, ...
stage, N, ...
stamp, PicN, ...
star, PicN, ...
start, N, ...
statement, N, ...
station, PicN, ...
steam, N, ...
steel, N, ...
stem, PicN, ...
step, N, ...
stick, PicN, ...
sticky, Q, ...
stiff, Q, ...
still, op, ...
stitch, N, ...
stocking, PicN, ...
stomach, PicN, ...
stone, N, ...
stop, N, ...
store, PicN, ...
story, N, ...
straight, Q, ...
strange, Q.opp, ...
street, PicN, ...
stretch, N, ...
strong, Q, ...
structure, N, ...
substance, N, ...
such, op, ...
sudden, Q, ...
sugar, N, ...
suggestion, N, ...
summer, N, ...
sun, PicN, ...
support, N, ...
surprise, N, ...
sweet, Q, ...
swim, N, ...
system, N, ...
table, PicN, ...
tail, PicN, ...
take, op, ...
talk, N, ...
tall, Q, ...
taste, N, ...
tax, N, ...
teaching, N, ...
tendency, N, ...
test, N, ...
than, op, ...
that, op, ...
then, op, ...
the, op, ...
theory, N, ...
there, op, ...
thick, Q, ...
thing, N, ...
thin, Q.opp, ...
this, op, ...
though, op, ...
thought, N, ...
thread, PicN, ...
throat, PicN, ...
through, op, ...
thumb, PicN, ...
thunder, N, ...
ticket, PicN, ...
tight, Q, ...
till, op, ...
time, N, ...
tin, N, ...
tired, Q, ...
toe, PicN, ...
together, op, ...
tomorrow, op, ...
tongue, PicN, ...
to, op, ...
tooth, PicN, ...
top, N, ...
touch, N, ...
town, PicN, ...
trade, N, ...
train, PicN, ...
transport, N, ...
tray, PicN, ...
tree, PicN, ...
trick, N, ...
trouble, N, ...
trousers, PicN, ...
true, Q, ...
turn, N, ...
twist, N, ...
umbrella, PicN, ...
under, op, ...
unit, N, ...
up, op, ...
use, N, ...
value, N, ...
verse, N, ...
very, op, ...
vessel, N, ...
view, N, ...
violent, Q, ...
voice, N, ...
waiting, Q, ...
walk, N, ...
wall, PicN, ...
warm, Q, ...
war, N, ...
wash, N, ...
waste, N, ...
watch, PicN, ...
water, N, ...
wave, N, ...
wax, N, ...
way, N, ...
weather, N, ...
week, N, ...
weight, N, ...
well, op, ...
west, op, ...
wet, Q, ...
wheel, PicN, ...
when, op, ...
where, op, ...
while, op, ...
whip, PicN, ...
whistle, PicN, ...
white, Q.opp, ...
who, op, ...
why, op, ...
wide, Q, ...
will, op, ...
wind, N, ...
window, PicN, ...
wine, N, ...
wing, PicN, ...
winter, N, ...
wire, PicN, ...
wise, Q, ...
with, op, ...
woman, N, ...
wood, N, ...
wool, N, ...
word, N, ...
work, N, ...
worm, PicN, ...
wound, N, ...
writing, N, ...
wrong, Q.opp, ...
year, N, ...
yellow, Q, ...
yes, op, ...
yesterday, op, ...
young, Q, ...
you, op, ...
